ext_id,first_name,last_name,email,phone,company,title,rating,source
209f5541-ab0c-419e-9162-6857b84a9104,Morgen,Rothman,mrothman0@tmall.com,513-189-9512,Jaxworks,Engineer I,Cold,Other
55c84106-99f6-4734-bf1c-caa5ecab2635,Milicent,Beer,mbeer1@ed.gov,247-470-5219,Zazio,Research Assistant III,Warm,Other
b1698c3c-45f8-437f-925f-0eadb02b6191,Gennifer,Adess,gadess2@theatlantic.com,827-317-0746,Tagopia,Environmental Specialist,Hot,Partner
6d632b96-eff2-4f75-b7a3-9bb21f91a945,Mirna,Beeden,mbeeden3@cargocollective.com,574-390-4231,Feedfish,Mechanical Systems Engineer,Cold,Partner
05b84c0e-cf22-4d0c-9397-be9ac71ffcb8,Shannan,Pinshon,spinshon4@g.co,272-424-0827,Mynte,Biostatistician I,Cold,Partner
f820b499-4016-4790-a5dd-1c5dada00897,Basile,Lealle,blealle5@wikispaces.com,509-329-7984,Shufflester,Analyst Programmer,Warm,Seminar - Partner
2b08f91b-8dd0-46af-b086-aba07a9ed1e1,Heidi,Charte,hcharte6@cmu.edu,578-522-2589,Yakidoo,Systems Administrator II,Cold,Seminar - Partner
12a49a57-26a9-4df2-aa89-cc7de3ab96b2,Dore,Itzkowicz,ditzkowicz7@mac.com,233-591-4037,Flashset,Professor,Warm,Partner
410db36a-f446-4cc4-9fa3-34bff0278d69,Anneliese,Cholmondeley,acholmondeley8@hud.gov,257-794-1438,Dynabox,Developer III,Hot,Seminar - Partner
ae27ff01-57eb-4e44-8d70-051ba20a57ca,Steffen,Tyler,styler9@myspace.com,723-883-7690,Blogtags,Account Executive,Hot,Partner
7f97784f-1db9-4f82-8ff9-08d3b06eb339,Pearline,Brockelsby,pbrockelsbya@statcounter.com,703-877-4701,Kamba,VP Product Management,Warm,Other
c2024019-4a6e-4fd0-a663-82db33ecacb1,Angil,Goscomb,agoscombb@sitemeter.com,716-867-6370,Feedfire,Environmental Tech,Cold,Seminar - Partner
0c5540cd-784b-4788-ac8d-f673dec51ba3,Gilberte,Neasham,gneashamc@geocities.jp,659-898-7869,Avavee,Legal Assistant,Warm,Partner
2a7fc05d-4b34-46d2-86f9-e75345cba1fb,Mellie,Strong,mstrongd@fotki.com,724-437-2207,Babbleblab,Sales Representative,Warm,Other
6f48b45a-3613-4999-acc9-5cce138deaa5,Elaina,Rubenchik,erubenchike@nbcnews.com,711-943-6877,Oyope,Clinical Specialist,Cold,Other
459abc2b-fb30-4744-9e05-3bc4f7a5ced5,Xavier,Mant,xmantf@indiatimes.com,593-611-5041,Blogtags,Environmental Tech,Cold,Other
b45a8161-d177-40ad-8e17-8590f65333a3,Anette,Doyley,adoyleyg@mtv.com,353-238-6165,Edgeify,Account Coordinator,Cold,Partner
dc9fc123-926c-4253-b407-1e21bd1ceed2,Yancey,Doe,ydoeh@google.de,462-805-7603,Zazio,Executive Secretary,Hot,Other
f1243b95-49bc-494d-828f-174b2b019cf4,Adena,Aburrow,aaburrowi@arstechnica.com,910-223-6547,Midel,Recruiting Manager,Cold,Partner
6f52befa-a9f9-4b13-bd12-fd2898f7bf4d,Sigismundo,Chaplin,schaplinj@bloglines.com,198-183-3596,Riffpedia,Staff Accountant I,Cold,Seminar - Partner
907e18e8-6474-439d-8d05-d88b33c9bacf,Ryann,Heintze,rheintzek@washington.edu,857-381-0324,Minyx,Computer Systems Analyst I,Warm,Partner
ce664cf8-c717-48b9-bbbc-87efc815217f,Adele,Kebell,akebelll@booking.com,561-533-1539,Gabvine,Automation Specialist III,Cold,Partner
22e745bd-549d-4601-9f5a-3c079b46ba1d,Jamill,Belf,jbelfm@flavors.me,829-832-1029,Zoozzy,Systems Administrator II,Hot,Partner
eab91484-3726-457c-b3f9-dfaa495a0d63,Purcell,Derye-Barrett,pderyebarrettn@princeton.edu,194-174-3110,Photobug,Environmental Specialist,Cold,Partner
20710bdc-3aa4-47cc-99d2-45b69ff55fb7,Harriet,Trodden,htroddeno@state.gov,101-548-7026,Innotype,Sales Associate,Warm,Seminar - Partner
